delta(mm) h R(mm) rho mu E V_bc(mm/s) delta_std V_bc_std
6.4154342712573404 7.67 10.0 0.0036 141.7762114 77835.17918 3121.307527774712 0.0579089351350806 6.933501868994365
5.236562765974528 7.67 10.0 0.0036 141.7762114 77835.17918 2232.3410810662026 0.0838118761336834 9.511739032970612
4.307466004969222 7.67 10.0 0.0036 141.7762114 77835.17918 1527.6519113264887 0.0466531626289404 11.601197973880634
3.8790236953145367 7.67 10.0 0.0036 141.7762114 77835.17918 1358.8332440886866 0.0617894887919669 8.644067778491934
3.479799794246414 7.67 10.0 0.0036 141.7762114 77835.17918 1042.7004669032217 0.0447535093363547 6.1979742415368815
2.916890080428955 7.67 10.0 0.0036 141.7762114 77835.17918 755.6612311041322 0.0293685017429046 13.070917054997224
2.754883872889581 7.67 10.0 0.0036 141.7762114 77835.17918 657.1079660643055 0.0531241906793884 11.427885167047124
2.439143915769196 7.67 10.0 0.0036 141.7762114 77835.17918 533.3759329935931 0.0507021686149611 17.70975062246933
4.9778682053980905 7.67 7.5 0.0036 141.7762114 77835.17918 3084.2261333773413 0.0486933390826958 8.005416411066822
4.166635451003897 7.67 7.5 0.0036 141.7762114 77835.17918 2197.1882583620536 0.0447099399940374 8.297539546410741
3.357932759669473 7.67 7.5 0.0036 141.7762114 77835.17918 1499.871659634122 0.0476191368246994 3.0633617277549146
3.271972032178033 7.67 7.5 0.0036 141.7762114 77835.17918 1318.8627085551675 0.0307875948962283 5.367127158390256
2.8313268216349914 7.67 7.5 0.0036 141.7762114 77835.17918 1033.503252670548 0.0367384934516557 2.4258797205155505
2.6079288761010573 7.67 7.5 0.0036 141.7762114 77835.17918 899.8537929129344 0.0338536941620834 6.766651634769226
2.264103004450972 7.67 7.5 0.0036 141.7762114 77835.17918 759.5105879674733 0.0393445859236496 8.544374355155789
1.821334180045825 7.67 7.5 0.0036 141.7762114 77835.17918 540.616338150447 0.0692269361649576 11.097211291493537
4.1436074127746085 7.67 5.0 0.0036 141.7762114 77835.17918 3133.16763894248 0.0683660313332468 10.232893018094588
3.3880287270344303 7.67 5.0 0.0036 141.7762114 77835.17918 2242.2637965261247 0.0471086116624836 5.768460476291657
2.5967775011973906 7.67 5.0 0.0036 141.7762114 77835.17918 1544.3258078801416 0.0711696824463194 7.617194621055765
2.5301762254080296 7.67 5.0 0.0036 141.7762114 77835.17918 1358.9108202961995 0.0263635154919353 10.384719228896524
2.0622819551811493 7.67 5.0 0.0036 141.7762114 77835.17918 1063.0512881131024 0.0818371478582312 3.2959276930541272
1.958742527274244 7.67 5.0 0.0036 141.7762114 77835.17918 917.6971613043544 0.0430813085986938 4.587261544728347
1.7976400313356835 7.67 5.0 0.0036 141.7762114 77835.17918 782.9903299851829 0.0793237619900174 7.529406847344062
1.3486000025270712 7.67 5.0 0.0036 141.7762114 77835.17918 513.3795111544036 0.0699484452595683 8.995230408908602
4.8420027341079965 7.67 8.0 0.0025 141.7762114 77835.17918 3149.5855400824685 0.0394229196615206 23.083989175579987
4.029421376089728 7.67 8.0 0.0025 141.7762114 77835.17918 2244.2348843242426 0.0789973239104456 18.516082869709763
3.177135251573441 7.67 8.0 0.0025 141.7762114 77835.17918 1551.6783409106556 0.0500572846276912 9.19366736792492
2.9862293820067856 7.67 8.0 0.0025 141.7762114 77835.17918 1385.7973416321247 0.0303469751372723 6.070765334460165
2.6491326748726003 7.67 8.0 0.0025 141.7762114 77835.17918 1072.2833227689646 0.0462023031390293 8.879485459266553
2.420410553676257 7.67 8.0 0.0025 141.7762114 77835.17918 946.497360784748 0.0839642437309288 6.8992919469770095
2.1164906657322464 7.67 8.0 0.0025 141.7762114 77835.17918 773.9802868536607 0.0278125913121898 7.346834581390848
1.7176546997587936 7.67 8.0 0.0025 141.7762114 77835.17918 555.512852356949 0.0411923801998162 14.812090042935546
3.3310428046972853 7.67 7.5 0.0011 141.7762114 77835.17918 2967.504663622385 0.1507752031260819 16.191768490072096
2.700534426712492 7.67 7.5 0.0011 141.7762114 77835.17918 2211.201069115676 0.062727984655111 18.76348085772888
2.144655027811787 7.67 7.5 0.0011 141.7762114 77835.17918 1515.6946056329737 0.0617365123818289 8.82179544841511
1.975445855874733 7.67 7.5 0.0011 141.7762114 77835.17918 1341.8171853620586 0.0734302752646279 15.179374285451164
1.7855284396960718 7.67 7.5 0.0011 141.7762114 77835.17918 1063.4539213797816 0.0320124268505274 24.797470120018662
