delta	R	h	rho	mu	E	EK	vi
8.181848148	6	6	0.0078	139.8657387	78000	75000	6260.990337
6.557231717	6	6	0.0078	139.8106614	78000	75000	4427.188724
5.260666589	6	6	0.0078	139.7332598	78000	75000	3130.495168
4.22516899	6	6	0.0078	139.6247128	78000	75000	2213.594362
3.168023322	6	6	0.0078	139.4122519	78000	75000	1400
2.551568027	6	6	0.0078	139.1770347	78000	75000	989.9494937
1.551126262	6	6	0.0078	138.2260593	78000	75000	442.7188724
11.8711422	10	6	0.0078	139.6313198	78000	75000	6260.990337
9.545074976	10	6	0.0078	139.4821287	78000	75000	4427.188724
7.684161578	10	6	0.0078	139.2741654	78000	75000	3130.495168
6.193751902	10	6	0.0078	138.9855764	78000	75000	2213.594362
4.666391524	10	6	0.0078	138.4299836	78000	75000	1400
3.771668781	10	6	0.0078	137.8276564	78000	75000	989.9494937
2.308722379	10	6	0.0078	135.5052935	78000	75000	442.7188724
16.86865956	16	6	0.0078	139.0784123	78000	75000	6260.990337
13.60881159	16	6	0.0078	138.715214	78000	75000	4427.188724
10.99201794	16	6	0.0078	138.2166281	78000	75000	3130.495168
8.888060147	16	6	0.0078	137.5380986	78000	75000	2213.594362
6.720865553	16	6	0.0078	136.2701291	78000	75000	1400
5.443871654	16	6	0.0078	134.9449363	78000	75000	989.9494937
3.338308419	16	6	0.0078	130.2101078	78000	75000	442.7188724
8.171052395	6	4	0.0078	99.91518954	65000	30000	6260.990337
6.573344802	6	4	0.0078	99.87714316	65000	30000	4427.188724
5.296281909	6	4	0.0078	99.82186272	65000	30000	3130.495168
4.274555927	6	4	0.0078	99.74156045	65000	30000	2213.594362
3.228983167	6	4	0.0078	99.57735467	65000	30000	1400
2.617496272	6	4	0.0078	99.38745334	65000	30000	989.9494937
1.619926087	6	4	0.0078	98.56474545	65000	30000	442.7188724
12.0066653	10	4	0.0078	99.74652774	65000	30000	6260.990337
9.70710543	10	4	0.0078	99.63224036	65000	30000	4427.188724
7.863029012	10	4	0.0078	99.46675328	65000	30000	3130.495168
6.381928189	10	4	0.0078	99.22801789	65000	30000	2213.594362
4.858012976	10	4	0.0078	98.7468358	65000	30000	1400
3.960690171	10	4	0.0078	98.20233562	65000	30000	989.9494937
2.479240223	10	4	0.0078	95.9773457	65000	30000	442.7188724
17.34524501	16	4	0.0078	99.3058115	65000	30000	6260.990337
14.09809269	16	4	0.0078	98.99690388	65000	30000	4427.188724
11.48117067	16	4	0.0078	98.55626403	65000	30000	3130.495168
9.366803722	16	4	0.0078	97.934228	65000	30000	2213.594362
7.173359931	16	4	0.0078	96.72574314	65000	30000	1400
5.869117372	16	4	0.0078	95.42259649	65000	30000	989.9494937
3.684701026	16	4	0.0078	90.63365417	65000	30000	442.7188724
10.37435712	6	5	0.0078	90.08849547	50000	500	6260.990337
8.38579683	6	5	0.0078	90.11703855	50000	500	4427.188724
6.794849715	6	5	0.0078	90.15270223	50000	500	3130.495168
5.520793823	6	5	0.0078	90.19578355	50000	500	2213.594362
4.21556564	6	5	0.0078	90.26213525	50000	500	1400
3.45133957	6	5	0.0078	90.31423034	50000	500	989.9494937
2.202322981	6	5	0.0078	90.37115647	50000	500	442.7188724
15.50133637	10	5	0.0078	90.19336209	50000	500	6260.990337
12.63126275	10	5	0.0078	90.24259642	50000	500	4427.188724
10.32743072	10	5	0.0078	90.29508712	50000	500	3130.495168
8.475168567	10	5	0.0078	90.3434042	50000	500	2213.594362
6.566749079	10	5	0.0078	90.3755261	50000	500	1400
5.440914502	10	5	0.0078	90.34204824	50000	500	989.9494937
3.573598561	10	5	0.0078	89.79160666	50000	500	442.7188724
22.95692988	16	5	0.0078	90.33059998	50000	500	6260.990337
18.89276328	16	5	0.0078	90.36783551	50000	500	4427.188724
15.61291587	16	5	0.0078	90.37077156	50000	500	3130.495168
12.95792574	16	5	0.0078	90.30587173	50000	500	2213.594362
10.19430419	16	5	0.0078	90.03001734	50000	500	1400
8.542063107	16	5	0.0078	89.5904132	50000	500	989.9494937
5.739736439	16	5	0.0078	87.33670228	50000	500	442.7188724
6.208347211	6	6	0.0036	139.9377976	78000	75000	6260.990337
4.965480822	6	6	0.0036	139.9121517	78000	75000	4427.188724
3.97485899	6	6	0.0036	139.8760001	78000	75000	3130.495168
3.184867994	6	6	0.0036	139.8250978	78000	75000	2213.594362
2.379950124	6	6	0.0036	139.7248284	78000	75000	1400
1.911686029	6	6	0.0036	139.6129039	78000	75000	989.9494937
1.154760954	6	6	0.0036	139.1515645	78000	75000	442.7188724
8.94943236	10	6	0.0036	139.8282027	78000	75000	6260.990337
7.177689438	10	6	0.0036	139.7578959	78000	75000	4427.188724
5.762994116	10	6	0.0036	139.6592344	78000	75000	3130.495168
4.632497418	10	6	0.0036	139.5211324	78000	75000	2213.594362
3.477466807	10	6	0.0036	139.2516249	78000	75000	1400
2.803299102	10	6	0.0036	138.9543833	78000	75000	989.9494937
1.707472398	10	6	0.0036	137.7631777	78000	75000	442.7188724
12.62660798	16	6	0.0036	139.5657044	78000	75000	6260.990337
10.15843395	16	6	0.0036	139.3905643	78000	75000	4427.188724
8.182829958	16	6	0.0036	139.1469225	78000	75000	3130.495168
6.599635132	16	6	0.0036	138.8097001	78000	75000	2213.594362
4.975910024	16	6	0.0036	138.1630911	78000	75000	1400
4.023850163	16	6	0.0036	137.4656216	78000	75000	989.9494937
2.464890341	16	6	0.0036	134.8058202	78000	75000	442.7188724
6.157844635	6	4	0.0036	99.96273436	65000	30000	6260.990337
4.939023802	6	4	0.0036	99.94616865	65000	30000	4427.188724
3.966422202	6	4	0.0036	99.92213417	65000	30000	3130.495168
3.189772349	6	4	0.0036	99.88723179	65000	30000	2213.594362
2.39706543	6	4	0.0036	99.81573236	65000	30000	1400
1.934948884	6	4	0.0036	99.73265881	65000	30000	989.9494937
